fecha,hora,pm10_ugm3,humedad_relativa_pct,direccion_viento_grados,velocidad_viento_ms,precipitacion_mm,condicion_lluvia,estacion_anio,n_eventos,numero_taladros,tonelaje_tm,anfo_kg,emulsion_kg,explosivo_total_kg,p80,mes,tiempo_taladro_ms,tiempo_fila_ms,n_retardos_taladro,n_retardos_fila
2023-04-09,12,15.3,68.0,316.0,2.5,0.0,Seco,Otoño,1,140,65686.0,1512,13971,15483,6.057,4,7.0,182.0,2,1
2023-04-10,12,5.7,68.0,310.0,2.1,0.0,Seco,Otoño,1,103,51729.0,1297,11998,13295,6.204,4,7.0,182.0,2,1
2023-04-11,12,9.5,70.0,328.0,0.9,0.0,Seco,Otoño,1,83,45259.0,1015,9393,10408,5.587,4,17.0,100.0,1,1
2023-04-13,13,18.9,60.0,330.0,0.0,0.0,Seco,Otoño,1,109,58675.0,4109,9854,13963,6.071,4,7.0,182.0,1,1
2023-04-14,12,14.5,58.0,307.0,2.7,0.0,Seco,Otoño,1,95,37097.0,2882,6904,9786,5.118,4,17.0,42.0,1,1
2023-04-15,12,9.4,69.0,179.0,0.0,0.0,Seco,Otoño,1,145,79338.0,3734,15344,19078,4.838,4,17.0,75.0,1,1
2023-04-15,13,9.6,69.0,174.0,0.0,0.0,Seco,Otoño,1,94,37280.0,1733,7114,8847,4.838,4,17.0,42.0,2,1
2023-04-16,12,3.4,66.0,323.0,2.2,0.0,Seco,Otoño,1,119,52765.0,1423,13120,14543,6.204,4,17.0,42.0,1,1
2023-04-16,13,3.7,57.0,309.0,3.8,0.0,Seco,Otoño,1,241,126937.0,5951,24428,30379,5.587,4,7.0,182.0,1,1
2023-04-17,12,6.2,84.0,324.0,1.8,0.0,Seco,Otoño,1,265,90584.0,5781,23766,29547,5.896,4,7.0,150.0,1,1
2023-04-18,12,8.9,68.0,312.0,2.3,0.0,Seco,Otoño,1,70,34511.0,838,7746,8585,5.896,4,17.0,100.0,1,1
2023-04-18,14,7.9,59.0,306.0,2.1,0.0,Seco,Otoño,1,114,56097.0,4294,10299,14593,5.896,4,3.0,182.0,1,1
2023-04-19,12,10.0,72.0,291.0,1.0,0.0,Seco,Otoño,1,45,17827.0,433,4007,4441,5.613,4,17.0,75.0,1,1
2023-04-19,13,9.5,65.0,303.0,0.9,0.0,Seco,Otoño,1,146,77191.0,1659,15348,17007,5.522,4,17.0,42.0,1,2
2023-04-20,13,7.9,72.0,323.0,2.4,0.0,Seco,Otoño,2,78,39078.0,988,9136,10123,10.882000000000001,4,34.0,175.0,1,1
2023-04-21,12,6.3,95.0,36.0,0.0,3.4,Lluvia moderada,Otoño,1,108,55572.0,2530,10408,12938,3.865,4,3.0,182.0,1,1
2023-04-22,12,11.3,61.0,334.0,2.5,0.0,Seco,Otoño,2,397,199894.0,4679,19238,23916,8.742999999999999,4,6.0,364.0,1,1
2023-04-23,12,9.2,65.0,318.0,2.7,0.0,Seco,Otoño,1,527,41117.0,1207,4945,6152,4.743,4,39.0,182.0,1,1
2023-04-24,12,18.4,64.0,321.0,1.7,0.0,Seco,Otoño,3,264,96761.0,4646,19030,23677,14.843999999999998,4,67.0,546.0,1,1
2023-04-25,12,13.2,76.0,332.0,0.2,0.0,Seco,Otoño,1,190,114892.0,4258,17509,21767,5.63,4,3.0,182.0,1,1
2023-04-26,7,12.9,97.0,189.0,0.0,0.0,Seco,Otoño,1,207,98015.0,4588,18859,23447,6.206,4,3.0,182.0,2,1
2023-04-26,12,8.8,74.0,317.0,2.5,0.0,Seco,Otoño,1,119,59869.0,2760,11348,14108,4.295,4,3.0,182.0,1,1
2023-04-27,12,18.5,68.0,329.0,0.8,0.0,Seco,Otoño,1,75,35652.0,1597,6623,8221,4.349,4,26.0,182.0,1,1
2023-04-28,12,15.2,59.0,103.0,3.0,0.0,Seco,Otoño,1,81,41064.0,1886,7753,9638,4.295,4,7.0,182.0,1,1
2023-04-28,13,21.5,44.0,43.0,1.1,0.0,Seco,Otoño,1,66,33310.0,1462,6012,7473,4.295,4,17.0,75.0,1,1
2023-04-29,12,54.0,45.0,333.0,2.2,0.0,Seco,Otoño,2,187,84522.0,4176,17156,21331,9.849,4,0.0,364.0,1,1
2023-04-30,13,16.3,55.0,331.0,2.1,0.0,Seco,Otoño,1,96,40051.0,1589,6527,8115,4.295,4,17.0,42.0,1,1
2023-05-01,12,26.0,59.0,308.0,2.4,0.0,Seco,Otoño,2,301,163811.0,7148,29385,36533,12.124,5,0.0,364.0,1,1
2023-05-02,12,55.2,58.0,305.0,1.5,0.0,Seco,Otoño,1,116,71958.0,2774,11405,14179,5.603,5,3.0,182.0,2,1
2023-05-03,12,143.8,54.0,298.0,1.4,0.0,Seco,Otoño,1,134,73213.0,3166,12974,16139,4.943,5,3.0,182.0,2,1
2023-05-04,12,29.7,57.0,309.0,1.7,0.0,Seco,Otoño,3,397,206753.0,7870,38456,46325,17.532,5,0.0,332.0,1,1
2023-05-05,13,26.9,58.0,293.0,1.9,0.0,Seco,Otoño,1,160,64338.0,3611,14823,18435,4.678,5,7.0,182.0,2,2
2023-05-06,12,147.1,71.0,91.0,0.0,0.0,Seco,Otoño,1,108,59921.0,2813,11560,14373,6.176,5,3.0,182.0,2,2
2023-05-07,12,7.6,73.0,36.0,0.0,0.0,Seco,Otoño,1,110,37901.0,2674,10996,13670,4.501,5,3.0,182.0,1,2
2023-05-07,13,6.0,72.0,116.0,1.1,0.0,Seco,Otoño,1,184,67183.0,5267,12641,17908,5.458,5,7.0,182.0,2,2
2023-05-08,12,5.3,74.0,318.0,2.5,0.0,Seco,Otoño,2,133,63299.0,3052,12545,15596,12.023,5,0.0,182.0,1,1
2023-05-09,12,4.3,78.0,324.0,0.9,0.0,Seco,Otoño,1,79,45496.0,2051,8430,10480,5.883,5,3.0,182.0,2,2
2023-05-10,12,8.2,63.0,306.0,2.7,0.0,Seco,Otoño,2,200,98634.0,4531,18686,23216,10.478,5,0.0,364.0,1,1
